Start;End;Sleep quality;Time in bed;Wake up;Sleep Notes;Heart rate;Activity (steps)
2016-08-11 02:20:25;2016-08-11 08:44:21;68%;6:23;;;;7031
2016-08-13 01:19:56;2016-08-13 07:49:17;62%;6:29;;;;6494
2016-08-14 02:25:24;2016-08-14 09:14:41;70%;6:49;;;;2913
2016-08-15 01:39:46;2016-08-15 08:36:51;55%;6:57;;;;18991
2016-08-16 03:20:45;2016-08-16 08:50:41;38%;5:29;;;;6323
2016-08-17 02:11:46;2016-08-17 09:04:37;71%;6:52;;;;5120
2016-08-18 02:41:38;2016-08-18 09:00:39;54%;6:19;;;;5370
2016-08-19 02:23:32;2016-08-19 08:46:13;63%;6:22;;;;9535
2016-08-20 03:17:31;2016-08-20 11:29:47;82%;8:12;;;;10296
2016-08-21 03:42:06;2016-08-21 12:32:20;82%;8:50;;Drank;;20592
2016-08-22 02:00:51;2016-08-22 08:47:18;57%;6:46;;;;14469
2016-08-23 02:22:25;2016-08-23 08:46:58;53%;6:24;;;;6186
2016-08-24 01:08:27;2016-08-24 08:39:59;58%;7:31;;;;7633
2016-08-25 02:14:11;2016-08-25 08:59:48;47%;6:45;;;;8463
2016-08-26 02:50:30;2016-08-26 09:00:14;48%;6:09;;;;4267
2016-08-27 02:53:01;2016-08-27 10:41:10;79%;7:48;;;;6128
2016-08-28 02:31:50;2016-08-28 09:36:10;51%;7:04;;Ate late:Drank;;25328
2016-08-29 02:21:43;2016-08-29 08:53:08;60%;6:31;;;;15538
2016-08-30 01:44:00;2016-08-30 09:00:26;74%;7:16;;;;3538
2016-08-31 03:23:50;2016-08-31 09:06:31;59%;5:42;;;;7781
2016-09-01 02:15:36;2016-09-01 09:02:00;74%;6:46;;;;14911
2016-09-02 02:15:19;2016-09-02 09:04:01;70%;6:48;;;;5912
2016-09-05 03:46:46;2016-09-05 10:08:19;62%;6:21;;Ate late:Drank;;9059
2016-09-06 02:30:07;2016-09-06 09:01:03;63%;6:30;;;;21478
2016-09-07 02:55:49;2016-09-07 08:48:50;51%;5:53;;;;7285
2016-09-08 02:37:26;2016-09-08 09:00:36;68%;6:23;;;;5586
2016-09-09 03:28:44;2016-09-09 08:56:44;58%;5:28;;;;7320
2016-09-10 03:08:33;2016-09-10 11:43:05;87%;8:34;;;;3724
2016-09-11 02:51:03;2016-09-11 10:47:58;87%;7:56;;;;6235
2016-09-12 02:39:19;2016-09-12 09:00:22;62%;6:21;;Worked out;;18304
2016-09-13 02:39:38;2016-09-13 09:01:21;68%;6:21;;;;4536
2016-09-14 03:09:11;2016-09-14 09:03:21;60%;5:54;;;;4897
2016-09-15 02:25:39;2016-09-15 08:59:54;69%;6:34;;;;4480
2016-09-16 02:10:17;2016-09-16 08:33:15;69%;6:22;;Drank;;4032
2016-09-17 03:38:29;2016-09-17 11:29:19;72%;7:50;;;;5339
2016-09-19 02:06:11;2016-09-19 09:01:16;69%;6:55;;;;8778
2016-09-20 02:51:34;2016-09-20 09:01:06;52%;6:09;;;;8265
2016-09-21 03:20:15;2016-09-21 09:00:57;57%;5:40;;Drank;;8402
2016-09-22 03:06:16;2016-09-22 09:04:27;69%;5:58;;;;4578
2016-09-23 03:15:18;2016-09-23 08:45:49;60%;5:30;;;;5542
2016-09-24 03:14:02;2016-09-24 12:32:15;93%;9:18;;;;7337
2016-09-26 03:06:33;2016-09-26 09:02:07;59%;5:55;;;;2538
2016-09-27 03:09:22;2016-09-27 09:01:40;49%;5:52;;;;2364
2016-09-28 03:00:12;2016-09-28 09:02:53;59%;6:02;;;;6014
2016-09-29 00:48:52;2016-09-29 09:00:59;60%;8:12;;;;3145
2016-09-30 01:37:53;2016-09-30 08:00:30;45%;6:22;;Drank;;5265
2016-10-01 01:54:33;2016-10-01 10:15:46;72%;8:21;;;;6018
2016-10-02 05:05:30;2016-10-02 10:52:37;43%;5:47;;Ate late:Drank;;16764
2016-10-03 01:45:01;2016-10-03 09:29:07;69%;7:44;;;;8304
2016-10-04 02:35:54;2016-10-04 08:42:08;61%;6:06;;;;7378
2016-10-06 03:10:52;2016-10-06 09:01:22;59%;5:50;;;57;6172
2016-10-07 02:32:34;2016-10-07 08:48:59;43%;6:16;;;57;6407
2016-10-08 04:37:45;2016-10-08 10:34:54;30%;5:57;;;65;6977
2016-10-09 02:41:49;2016-10-09 10:59:44;45%;8:17;;;58;6360
2016-10-10 03:30:12;2016-10-10 08:58:21;41%;5:28;;;53;3486
2016-10-11 03:10:23;2016-10-11 09:01:07;59%;5:50;;;52;5802
2016-10-12 02:41:01;2016-10-12 08:36:46;52%;5:55;;;53;7680
2016-10-12 02:41:01;2016-10-12 08:36:46;52%;5:55;;;53;7680
2016-10-13 03:09:36;2016-10-13 09:01:15;45%;5:51;;Drank;70;7253
2016-10-14 02:32:37;2016-10-14 09:04:41;63%;6:32;;;79;4886
2016-10-15 03:16:34;2016-10-15 11:05:08;69%;7:48;;;73;13290
2016-10-16 02:36:48;2016-10-16 12:16:10;71%;9:39;;;69;3746
2016-10-17 02:15:49;2016-10-17 09:00:22;63%;6:44;;;58;50
2016-10-18 02:28:13;2016-10-18 09:00:41;62%;6:32;;;57;7697
2016-10-19 02:16:07;2016-10-19 08:55:55;64%;6:39;;;53;4169
2016-10-20 01:51:21;2016-10-20 08:42:13;70%;6:50;;;59;5538
2016-10-21 02:05:57;2016-10-21 09:02:14;67%;6:56;;;82;3729
2016-10-22 02:18:01;2016-10-22 11:00:37;74%;8:42;;;66;3755
2016-10-23 02:26:54;2016-10-23 09:54:10;51%;7:27;;Drank;69;10593
2016-10-24 01:11:52;2016-10-24 08:40:46;54%;7:28;;Stressful day;58;11459
2016-10-25 02:25:25;2016-10-25 09:02:02;59%;6:36;;;73;5470
2016-10-26 02:39:25;2016-10-26 09:02:29;56%;6:23;;;71;4657
2016-10-27 02:25:44;2016-10-27 09:30:48;62%;7:05;;;81;5484
2016-10-28 05:01:36;2016-10-28 10:24:00;51%;5:22;;Drank;94;10952
2016-10-30 02:54:31;2016-10-30 10:12:01;70%;7:17;;;79;10485
2016-10-31 02:43:55;2016-10-31 08:58:01;48%;6:14;;;55;2304
2016-11-01 03:20:59;2016-11-01 09:16:21;54%;5:55;;;76;3336
2016-11-02 02:52:15;2016-11-02 09:43:12;63%;6:50;;;80;6943
2016-11-03 02:58:18;2016-11-03 09:09:54;58%;6:11;;;74;5165
2016-11-04 02:45:26;2016-11-04 09:04:02;52%;6:18;;;59;8402
2016-11-05 02:51:14;2016-11-05 10:31:02;71%;7:39;;;67;3177
2016-11-06 01:43:12;2016-11-06 11:36:50;70%;9:53;;;67;15834
2016-11-07 02:22:55;2016-11-07 09:01:42;48%;6:38;;Drank;64;12480
2016-11-08 00:50:34;2016-11-08 08:58:18;51%;8:07;;Drank;69;5324
2016-11-09 02:59:06;2016-11-09 08:58:23;58%;5:59;;Drank;89;5655
2016-11-10 01:58:29;2016-11-10 09:07:38;60%;7:09;;;70;4989
2016-11-11 03:12:22;2016-11-11 09:00:33;45%;5:48;;Ate late:Drank;67;8983
2016-11-12 02:28:34;2016-11-12 11:01:54;76%;8:33;;;64;6044
2016-11-13 05:16:19;2016-11-13 10:47:45;52%;5:31;;Drank;66;3059
2016-11-14 02:00:36;2016-11-14 09:00:25;54%;6:59;;;53;4489
2016-11-15 02:14:03;2016-11-15 09:00:25;67%;6:46;;;54;5275
2016-11-16 02:43:10;2016-11-16 08:50:09;46%;6:06;;;76;6646
2016-11-17 02:59:31;2016-11-17 09:11:55;51%;6:12;;;59;5276
2016-11-18 02:54:55;2016-11-18 09:00:18;55%;6:05;;Drank;79;4973
2016-11-19 03:04:24;2016-11-19 09:28:40;62%;6:24;;;59;2950
2016-11-20 03:57:48;2016-11-20 12:09:51;74%;8:12;;;59;8668
2016-11-21 02:31:20;2016-11-21 09:00:14;51%;6:28;;;59;5560
2016-11-22 02:32:24;2016-11-22 09:05:07;57%;6:32;;;54;5800
2016-11-23 02:00:37;2016-11-23 09:01:26;67%;7:00;;;60;4802
2016-11-24 02:41:12;2016-11-24 09:01:50;63%;6:20;;;60;3697
2016-11-25 01:54:38;2016-11-25 09:09:30;72%;7:14;;;59;5130
2016-11-26 02:43:53;2016-11-26 11:15:53;89%;8:31;;;72;7533
2016-11-27 04:54:22;2016-11-27 07:58:59;33%;3:04;;Drank;104;16808
2016-11-28 01:29:03;2016-11-28 09:10:28;82%;7:41;;;72;3486
2016-11-29 02:30:26;2016-11-29 09:11:23;72%;6:40;;;58;5361
2016-11-30 03:50:11;2016-11-30 09:00:06;56%;5:09;;Drank;61;10662
2016-12-01 01:40:26;2016-12-01 09:00:40;82%;7:20;;;67;4007
2016-12-02 02:41:15;2016-12-02 08:53:31;65%;6:12;;Drank;74;8418
2016-12-03 02:38:22;2016-12-03 10:29:13;87%;7:50;;Drank;60;4231
2016-12-04 03:11:20;2016-12-04 10:39:53;83%;7:28;;Drank;85;3701
2016-12-04 22:46:23;2016-12-05 08:32:26;90%;9:46;;;69;2317
2016-12-06 01:52:37;2016-12-06 08:30:21;73%;6:37;;;48;4599
2016-12-07 01:43:51;2016-12-07 08:59:42;83%;7:15;;Drank;62;7715
2016-12-08 02:50:11;2016-12-08 09:00:26;64%;6:10;;;63;4195
